,hour,station,interval,mu,sigma,ks_statistic,ks_pvalue,n_samples
315,3,CUA,0-25,-2.9433698836437254,8.41635951684264,0.017009659100763352,0.2313829093280807,3705
316,3,CUA,25-50,-3.043200106135987,9.95055698627509,0.020989727409621017,0.2350886983309789,2412
317,3,CUA,50-100,1.6044827729729736,18.135659908348114,0.011983144411532254,0.9682644117938798,1665
318,3,CUA,100-150,17.37180540909091,25.166079370007285,0.10418772366147921,0.687088513303709,44
319,3,CUA,150-250,,,,,0
320,3,SFE,0-25,1.8906086341744817,7.812831857848185,0.052287758600151224,8.407079813907174e-09,3519
321,3,SFE,25-50,0.7617095737937561,11.305491719751556,0.017702334066704573,0.5159191602817853,2114
322,3,SFE,50-100,5.306614245153221,17.50249048560304,0.02769835387238012,0.16872256452752066,1599
323,3,SFE,100-150,19.076400825396824,17.45196881543348,0.07552516040484669,0.838326470533353,63
324,3,SFE,150-250,,,,,0
325,3,SAG,0-25,0.9591870867137784,7.750252785064053,0.052428802155635335,7.634773882692888e-08,3099
326,3,SAG,25-50,-2.732183538051751,10.50343471270024,0.030250135765112818,0.17682391592780244,1314
327,3,SAG,50-100,-2.2069501014218007,12.618864918200945,0.017329013889960776,0.9037440730319173,1055
328,3,SAG,100-150,,,,,0
